case,problem,cores,mode,makespan,added_copy,byte_hit_rate,time_ratio,copy_saved_vs_fastest,plan,plan_sha256
case_040,2,5,time_first,100854,66048,,1.0,0,p2/case_040/time_first.json,bf007604e2ed7cb803d469f4b07cb06b81321496d00087e5c48cedcfada338b8
case_041,2,5,min_copy_within_1pct_time,1201449,33183744,,1.0053680481057443,3622912,p2/case_041/min_copy_within_1pct_time.json,fc723404af88f2b119b975098b0d0a1fa9216be567e480874570ac0b6dee0f5a
case_041,2,5,min_copy_within_3pct_time,1224295,27172864,,1.024485495810161,9633792,p2/case_041/min_copy_within_3pct_time.json,2582c9d0cc55f677302ba890dd2f825dbe118662482915380b5c66d8b68827de
case_041,2,5,time_first,1195034,36806656,,1.0,0,p2/case_041/time_first.json,d1df213026385c9cc21c4ec8dba2212e8aae3d818a8d979c31618ee1dc2ea426
case_042,2,5,min_copy_within_1pct_time,349483,8738816,,1.0,0,p2/case_042/min_copy_within_1pct_time.json,c78f17cbe3b0e6efb15845e933dd727aa1175c859024621fe09bc0810892b89b
case_042,2,5,min_copy_within_3pct_time,358905,6982656,,1.0269598235107287,1756160,p2/case_042/min_copy_within_3pct_time.json,1851cb0a43b9fd6c51a6e204f8aac585ee50efdcb81792bc6d8fe5469660eee5
case_042,2,5,time_first,349483,8738816,,1.0,0,p2/case_042/time_first.json,c78f17cbe3b0e6efb15845e933dd727aa1175c859024621fe09bc0810892b89b
case_043,2,5,min_copy_within_1pct_time,220742,1865524,,1.0,0,p2/case_043/min_copy_within_1pct_time.json,47a0a2c4e1f9929af4e0bc0e0abc6cda44a5328b320146b1215ecb2d43f486e2
case_043,2,5,min_copy_within_3pct_time,220742,1865524,,1.0,0,p2/case_043/min_copy_within_3pct_time.json,47a0a2c4e1f9929af4e0bc0e0abc6cda44a5328b320146b1215ecb2d43f486e2
case_043,2,5,time_first,220742,1865524,,1.0,0,p2/case_043/time_first.json,47a0a2c4e1f9929af4e0bc0e0abc6cda44a5328b320146b1215ecb2d43f486e2
case_044,2,5,min_copy_within_1pct_time,43839,930400,,1.0,0,p2/case_044/min_copy_within_1pct_time.json,ef35f73a1f2552bf432b1bbcbef50756595da741b6b20b4bb69297e5136f08ff
case_044,2,5,min_copy_within_3pct_time,43839,930400,,1.0,0,p2/case_044/min_copy_within_3pct_time.json,ef35f73a1f2552bf432b1bbcbef50756595da741b6b20b4bb69297e5136f08ff
case_044,2,5,time_first,43839,930400,,1.0,0,p2/case_044/time_first.json,ef35f73a1f2552bf432b1bbcbef50756595da741b6b20b4bb69297e5136f08ff
case_045,2,5,min_copy_within_1pct_time,25770,0,,1.0,0,p2/case_045/min_copy_within_1pct_time.json,a42dd59c93a57f988db6d6d76ddc50c4bb293ca5c3cfabc2086a7f010b00f534
case_045,2,5,min_copy_within_3pct_time,25770,0,,1.0,0,p2/case_045/min_copy_within_3pct_time.json,a42dd59c93a57f988db6d6d76ddc50c4bb293ca5c3cfabc2086a7f010b00f534
case_045,2,5,time_first,25770,0,,1.0,0,p2/case_045/time_first.json,a42dd59c93a57f988db6d6d76ddc50c4bb293ca5c3cfabc2086a7f010b00f534
case_046,2,5,min_copy_within_1pct_time,77846,2791200,,1.0,0,p2/case_046/min_copy_within_1pct_time.json,06766164545d1f3344b98cd9509bc23f12b77e8a71bda5520df692562dfa3f7d
case_046,2,5,min_copy_within_3pct_time,77846,2791200,,1.0,0,p2/case_046/min_copy_within_3pct_time.json,06766164545d1f3344b98cd9509bc23f12b77e8a71bda5520df692562dfa3f7d
case_046,2,5,time_first,77846,2791200,,1.0,0,p2/case_046/time_first.json,06766164545d1f3344b98cd9509bc23f12b77e8a71bda5520df692562dfa3f7d
case_047,2,5,min_copy_within_1pct_time,87055,2698072,,1.0,0,p2/case_047/min_copy_within_1pct_time.json,d90a84db08c765d90b7a1f784bd17581c34531a6efceff4cee3f507a5dc0897d
case_047,2,5,min_copy_within_3pct_time,87055,2698072,,1.0,0,p2/case_047/min_copy_within_3pct_time.json,d90a84db08c765d90b7a1f784bd17581c34531a6efceff4cee3f507a5dc0897d
case_047,2,5,time_first,87055,2698072,,1.0,0,p2/case_047/time_first.json,d90a84db08c765d90b7a1f784bd17581c34531a6efceff4cee3f507a5dc0897d
case_048,2,5,min_copy_within_1pct_time,94648,880530,,1.0,0,p2/case_048/min_copy_within_1pct_time.json,97505041c300624291d6b4154586aa255d1a4c37270cac95fe9cf14be27af224
case_048,2,5,min_copy_within_3pct_time,94648,880530,,1.0,0,p2/case_048/min_copy_within_3pct_time.json,97505041c300624291d6b4154586aa255d1a4c37270cac95fe9cf14be27af224
case_048,2,5,time_first,94648,880530,,1.0,0,p2/case_048/time_first.json,97505041c300624291d6b4154586aa255d1a4c37270cac95fe9cf14be27af224
